Year,Jurisdiction,Sector,Area of expenditure,Broad source of funds,Source of funds,Current amount ($),Constant amount ($)
2011-12,Qld,Hospitals,Public hospital services,Canadian Government,DoHAC and other,"2,96,74,33,233.82","3,76,86,09,292.29"
2011-12,Qld,Hospitals,Public hospital services,Canadian Government,Premium rebates,"3,43,50,678.81","4,36,27,436.41"
2011-12,Qld,Hospitals,Public hospital services,Non-government,Health insurance funds,"6,68,24,591.04","8,48,71,265.93"
2011-12,Qld,Hospitals,Public hospital services,Non-government,Individuals,"44,02,53,118.97","55,91,48,046.49"
2011-12,Qld,Hospitals,Public hospital services,Non-government,Other source of funds,"25,61,09,600.38","32,52,74,658.08"
2011-12,Qld,Hospitals,Public hospital services,State and local government,State and local government,"4,20,69,08,342.89","5,34,12,55,570.51"
2011-12,Qld,Medical expenses tax rebate,Medical expenses tax rebate,Canadian Government,DoHAC and other,"9,92,99,084.00","12,89,96,621.70"
2011-12,Qld,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,"-9,92,99,084.00","-12,89,96,621.70"
2011-12,Qld,Other services,Administration,Canadian Government,DoHAC and other,"32,17,20,300.39","41,44,79,442.74"
2011-12,Qld,Other services,Administration,Canadian Government,Premium rebates,"11,00,15,454.94","14,29,17,955.03"
2011-12,Qld,Other services,Administration,Non-government,Health insurance funds,"21,40,10,609.26","27,80,15,108.40"
2011-12,Qld,Other services,Administration,State and local government,State and local government,"18,60,70,939.54","23,63,35,184.19"
2011-12,Qld,Other services,Aids and appliances,Canadian Government,Department of Veterans' Affairs,"4,08,795.02","4,68,331.06"
2011-12,Qld,Other services,Aids and appliances,Canadian Government,DoHAC and other,"8,37,80,164.82","10,63,92,903.99"
2011-12,Qld,Other services,Aids and appliances,Canadian Government,Premium rebates,"4,77,10,869.72","5,46,59,379.18"
2011-12,Qld,Other services,Aids and appliances,Non-government,Health insurance funds,"9,28,10,890.18","10,63,27,670.55"
2011-12,Qld,Other services,Aids and appliances,Non-government,Individuals,"48,61,95,519.09","55,70,03,998.98"
2011-12,Qld,Other services,Aids and appliances,Non-government,Other source of funds,"1,15,18,723.31","1,31,96,285.64"
2011-12,Qld,Other services,Patient transport services,Canadian Government,Department of Veterans' Affairs,"2,28,47,000.00","2,90,17,069.65"
2011-12,Qld,Other services,Patient transport services,Canadian Government,DoHAC and other,"1,49,70,254.01","1,90,13,126.60"
2011-12,Qld,Other services,Patient transport services,Canadian Government,Premium rebates,"69,546.78","88,328.61"
2011-12,Qld,Other services,Patient transport services,Non-government,Health insurance funds,"1,35,287.80","1,71,823.68"
2011-12,Qld,Other services,Patient transport services,Non-government,Individuals,0,0
2011-12,Qld,Other services,Patient transport services,Non-government,Other source of funds,"51,08,950.68","64,88,675.87"
2011-12,Qld,Other services,Patient transport services,State and local government,State and local government,"66,74,90,787.27","84,71,74,398.22"
2011-12,Qld,Primary health care,All other medications,Canadian Government,DoHAC and other,"10,58,69,753.49","13,29,59,021.29"
2011-12,Qld,Primary health care,All other medications,Canadian Government,Premium rebates,"47,73,277.12","52,04,787.14"
2011-12,Qld,Primary health care,All other medications,Non-government,Health insurance funds,"92,85,349.46","1,01,24,756.27"
2011-12,Qld,Primary health care,All other medications,Non-government,Individuals,"1,49,90,40,392.07","1,63,45,55,454.65"
2011-12,Qld,Primary health care,All other medications,Non-government,Other source of funds,"60,04,815.05","65,47,657.58"
2011-12,Qld,Primary health care,Benefit-paid pharmaceuticals,Canadian Government,Department of Veterans' Affairs,"10,85,29,744.20","12,60,16,339.00"
2011-12,Qld,Primary health care,Benefit-paid pharmaceuticals,Canadian Government,DoHAC and other,"1,55,59,87,246.63","1,80,74,14,145.19"
2011-12,Qld,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"30,79,86,060.68","35,76,09,576.22"
2011-12,Qld,Primary health care,Community health and other,Canadian Government,Department of Veterans' Affairs,-858.31,"-1,115.01"
2011-12,Qld,Primary health care,Community health and other,Canadian Government,DoHAC and other,"22,71,35,093.34","28,83,02,129.56"
2011-12,Qld,Primary health care,Community health and other,Canadian Government,Premium rebates,"67,729.14","87,985.01"
2011-12,Qld,Primary health care,Community health and other,Non-government,Health insurance funds,"1,31,751.99","1,71,155.27"
2011-12,Qld,Primary health care,Community health and other,Non-government,Individuals,"1,48,92,000.00","1,89,13,739.28"
2011-12,Qld,Primary health care,Community health and other,Non-government,Other source of funds,"70,49,499.62","89,82,315.94"
2011-12,Qld,Primary health care,Community health and other,State and local government,State and local government,"1,82,17,30,387.26","2,31,39,16,539.57"
2011-12,Qld,Primary health care,Dental services,Canadian Government,Department of Veterans' Affairs,"2,89,73,673.17","3,24,39,173.58"
2011-12,Qld,Primary health care,Dental services,Canadian Government,DoHAC and other,"17,45,42,680.52","19,69,51,714.64"
2011-12,Qld,Primary health care,Dental services,Canadian Government,Premium rebates,"12,39,95,517.07","13,88,26,446.93"
2011-12,Qld,Primary health care,Dental services,Non-government,Health insurance funds,"24,12,05,712.33","27,00,55,989.24"
2011-12,Qld,Primary health care,Dental services,Non-government,Individuals,"53,92,05,082.90","60,36,98,646.50"
2011-12,Qld,Primary health care,Dental services,Non-government,Other source of funds,"41,36,194.12","51,14,740.94"
2011-12,Qld,Primary health care,Dental services,State and local government,State and local government,"18,83,07,424.83","23,91,61,800.78"
2011-12,Qld,Primary health care,Other health practitioners,Canadian Government,Department of Veterans' Affairs,"6,48,28,783.83","8,67,49,433.41"
2011-12,Qld,Primary health care,Other health practitioners,Canadian Government,DoHAC and other,"20,23,77,598.24","26,86,64,252.97"
2011-12,Qld,Primary health care,Other health practitioners,Canadian Government,Premium rebates,"5,51,72,641.60","7,38,28,245.97"
2011-12,Qld,Primary health care,Other health practitioners,Non-government,Health insurance funds,"10,73,26,108.50","14,36,16,439.36"
2011-12,Qld,Primary health care,Other health practitioners,Non-government,Individuals,"49,28,74,804.80","65,95,31,268.85"
2011-12,Qld,Primary health care,Other health practitioners,Non-government,Other source of funds,"5,54,69,300.33","7,42,25,214.34"
2011-12,Qld,Primary health care,Public health,Canadian Government,DoHAC and other,"32,70,84,989.19","41,54,17,687.83"
2011-12,Qld,Primary health care,Public health,Non-government,Individuals,"1,57,99,000.00","2,00,65,684.05"
2011-12,Qld,Primary health care,Public health,Non-government,Other source of funds,0,0
2011-12,Qld,Primary health care,Public health,State and local government,State and local government,"8,44,56,417.52","10,72,64,750.29"
2011-12,Qld,Primary health care,Unreferred medical services,Canadian Government,Department of Veterans' Affairs,"4,45,51,474.49","5,11,90,496.99"
2011-12,Qld,Primary health care,Unreferred medical services,Canadian Government,DoHAC and other,"1,36,42,19,389.17","1,59,84,93,752.31"
2011-12,Qld,Primary health care,Unreferred medical services,Non-government,Individuals,"13,58,24,145.00","15,60,64,542.53"
2011-12,Qld,Primary health care,Unreferred medical services,Non-government,Other source of funds,"15,14,13,841.75","17,39,77,402.51"
2011-12,Qld,Referred medical services,Referred medical services,Canadian Government,Department of Veterans' Affairs,"25,30,64,835.62","29,07,76,340.26"
2011-12,Qld,Referred medical services,Referred medical services,Canadian Government,DoHAC and other,"2,01,90,71,511.00","2,31,99,51,814.89"
2011-12,Qld,Referred medical services,Referred medical services,Canadian Government,Premium rebates,"11,75,32,152.35","13,50,46,692.83"
2011-12,Qld,Referred medical services,Referred medical services,Non-government,Health insurance funds,"22,86,32,672.95","26,27,03,317.67"
2011-12,Qld,Referred medical services,Referred medical services,Non-government,Individuals,"45,70,19,604.70","52,51,24,274.00"
2011-12,Qld,Research,Research,Canadian Government,DoHAC and other,"70,34,96,457.50","91,32,61,372.63"
2011-12,Qld,Research,Research,Non-government,Other source of funds,"5,33,05,051.38","6,92,47,079.34"
2011-12,Qld,Research,Research,State and local government,State and local government,"15,45,95,507.90","19,67,76,607.11"
2011-12,SA,Capital expenditure,Capital expenditure,Canadian Government,DoHAC and other,"1,96,51,405.51","2,09,54,196.66"
2011-12,SA,Capital expenditure,Capital expenditure,Non-government,Other source of funds,"7,87,57,399.11","9,19,41,779.90"
2011-12,SA,Capital expenditure,Capital expenditure,State and local government,State and local government,"31,10,00,000.00","38,10,23,356.05"
2011-12,SA,Hospitals,Private hospitals,Canadian Government,Department of Veterans' Affairs,"4,65,55,177.25","5,96,96,227.42"
2011-12,SA,Hospitals,Private hospitals,Canadian Government,DoHAC and other,"1,10,69,764.44","1,41,80,713.11"
2011-12,SA,Hospitals,Private hospitals,Canadian Government,Premium rebates,"19,07,66,134.91","24,46,13,365.19"
2011-12,SA,Hospitals,Private hospitals,Non-government,Health insurance funds,"37,11,09,666.24","47,58,62,156.35"
2011-12,SA,Hospitals,Private hospitals,Non-government,Individuals,"8,47,38,972.95","10,86,58,097.76"
2011-12,SA,Hospitals,Private hospitals,Non-government,Other source of funds,"2,50,29,520.68","3,20,94,560.63"
2011-12,SA,Hospitals,Private hospitals,State and local government,State and local government,"41,41,162.51","53,10,081.36"
2011-12,SA,Hospitals,Public hospital services,Canadian Government,Department of Veterans' Affairs,"6,74,99,966.46","8,65,53,066.42"
2011-12,SA,Hospitals,Public hospital services,Canadian Government,DoHAC and other,"1,19,58,03,498.05","1,53,32,02,709.72"
2011-12,SA,Hospitals,Public hospital services,Canadian Government,Premium rebates,"1,69,12,006.10","2,16,85,729.11"
2011-12,SA,Hospitals,Public hospital services,Non-government,Health insurance funds,"3,29,00,016.26","4,21,86,647.52"
2011-12,SA,Hospitals,Public hospital services,Non-government,Individuals,"3,70,31,267.55","4,74,84,020.04"
2011-12,SA,Hospitals,Public hospital services,Non-government,Other source of funds,"9,66,92,253.68","12,39,85,410.58"
2011-12,SA,Hospitals,Public hospital services,State and local government,State and local government,"2,06,44,98,122.71","2,64,73,13,591.18"
2011-12,SA,Medical expenses tax rebate,Medical expenses tax rebate,Canadian Government,DoHAC and other,"4,50,19,719.03","5,95,05,206.96"
2011-12,SA,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,"-4,50,19,719.03","-5,95,05,206.96"
2011-12,SA,Other services,Administration,Canadian Government,DoHAC and other,"10,84,58,379.69","14,20,67,691.51"
2011-12,SA,Other services,Administration,Canadian Government,Premium rebates,"4,13,80,467.40","5,46,94,994.32"
2011-12,SA,Other services,Administration,Non-government,Health insurance funds,"8,04,96,499.80","10,63,96,951.89"
2011-12,SA,Other services,Administration,Non-government,Individuals,0,0
2011-12,SA,Other services,Administration,Non-government,Other source of funds,0,0
2011-12,SA,Other services,Administration,State and local government,State and local government,0,0
2011-12,SA,Other services,Aids and appliances,Canadian Government,Department of Veterans' Affairs,"1,643.23","1,882.55"
2011-12,SA,Other services,Aids and appliances,Canadian Government,DoHAC and other,"3,30,61,421.09","4,23,85,084.66"
2011-12,SA,Other services,Aids and appliances,Canadian Government,Premium rebates,"2,05,21,293.67","2,35,09,971.17"
2011-12,SA,Other services,Aids and appliances,Non-government,Health insurance funds,"3,99,19,614.60","4,57,33,422.25"
2011-12,SA,Other services,Aids and appliances,Non-government,Individuals,"15,17,48,491.98","17,38,48,819.16"
2011-12,SA,Other services,Aids and appliances,Non-government,Other source of funds,"1,50,27,548.45","1,72,16,128.60"
2011-12,SA,Other services,Patient transport services,Canadian Government,Department of Veterans' Affairs,"71,00,000.00","91,04,104.84"
2011-12,SA,Other services,Patient transport services,Canadian Government,DoHAC and other,"65,91,183.33","84,51,665.37"
2011-12,SA,Other services,Patient transport services,Canadian Government,Premium rebates,"65,42,170.57","83,88,817.85"
2011-12,SA,Other services,Patient transport services,Non-government,Health insurance funds,"1,27,26,338.40","1,63,18,580.16"
2011-12,SA,Other services,Patient transport services,Non-government,Individuals,"7,49,38,446.58","9,60,91,193.59"
2011-12,SA,Other services,Patient transport services,Non-government,Other source of funds,"78,18,187.32","1,00,25,013.67"
2011-12,SA,Other services,Patient transport services,State and local government,State and local government,"18,70,61,043.15","23,99,19,928.58"
2011-12,SA,Primary health care,All other medications,Canadian Government,DoHAC and other,"4,23,03,099.59","5,32,56,039.35"
2011-12,SA,Primary health care,All other medications,Canadian Government,Premium rebates,"20,86,001.24","22,61,967.51"
2011-12,SA,Primary health care,All other medications,Non-government,Health insurance funds,"40,57,851.67","44,00,154.92"
2011-12,SA,Primary health care,All other medications,Non-government,Individuals,"58,78,40,516.38","63,74,28,263.23"
2011-12,SA,Primary health care,All other medications,Non-government,Other source of funds,"58,67,469.35","63,62,424.32"
